sentenceID,sentenceType,m1,word,m1_relatedness,m2_relatedness,m1_trigram,m2_trigram,unigram
13,pun,whirled,turn,1.733512144,0.32137873,0.00412682,0.00412682,0.000163905
13,pun,whirled,traveler,-0.69952321,1.104669659,4.48E-06,5.68E-06,2.44E-08
14,pun,caesars,caesars,0,0,5.98E-09,2.90E-05,1.71E-07
14,pun,caesars,young,-0.130802016,-0.574533178,0.00380236,0.00380236,0.000260657
14,pun,caesars,boy,-0.347430465,-0.205619209,0.0286134,0.0286134,0.000102507
14,pun,caesars,brutus',1.099729391,-0.870360782,0.00129238,0.00129238,8.13E-09
14,pun,caesars,mother,-0.768492084,-0.804208035,0.000117062,0.000117062,0.000196283
14,pun,caesars,cautioned,-0.903392247,1.588185734,1.64E-05,1.64E-05,1.74E-06
14,pun,caesars,not,-0.787256892,-1.094772876,0.00299536,0.00299536,0.00346259
14,pun,caesars,run,-0.820549264,0.124706242,0.00180346,0.00180346,0.000173262
15,pun,launch,launch,0,0,6.47E-07,1.78E-06,2.52E-05
15,pun,launch,astronauts,1.866736686,-0.695418569,1.02E-07,1.02E-07,7.15E-07
15,pun,launch,like,-0.825180387,-0.335230617,0.000472291,0.000472291,0.001186943
16,pun,bloom,bloom,0,0,1.67E-05,0.000182938,4.41E-06
16,pun,bloom,flower,1.436927181,0.682043181,0.000136395,0.000136395,1.85E-05
16,pun,bloom,show,0.640303692,-0.593808778,0.019026,0.019026,0.000211119
16,pun,bloom,prize,-0.481246649,-0.274261135,0.00137241,0.00137241,2.53E-05
16,pun,bloom,ribbon,-0.507494658,0.79998026,2.43E-06,0.00493645,5.19E-06
17,pun,flea,flea,0,0,1.49E-07,0.0155354,1.44E-06
17,pun,flea,pet,1.178779019,-0.392441284,2.35E-05,2.35E-05,1.13E-05
17,pun,flea,store,-0.30782313,-0.05921709,0.000558732,0.000558732,3.49E-05
17,pun,flea,buy,-0.402777604,0.044471953,7.62E-05,7.62E-05,9.88E-05
17,pun,flea,dog,0.892434215,-0.450559247,7.73E-05,7.73E-05,6.33E-05
17,pun,flea,get,-0.789078325,0.351543999,0.00019186,0.00019186,0.000769103
18,pun,fillings,fillings,0,0,8.53E-08,9.17E-05,1.15E-06
18,pun,fillings,kind,-0.741261606,0.760959289,0.000280833,0.000280833,0.000189024
18,pun,fillings,dentist,1.696305434,-0.227316991,0.000201085,0.000201085,4.45E-06
19,pun,salivation,salivation,0,0,9.66E-08,6.53E-06,1.71E-07
